# Wordlist

# DATA
ID	CONCEPT	COUNTERPART	DOCULECT	COGID	TOKENS	IPA
1642	*flextanan	*flextanan	Proto-Germanic	451	f l e x t a n	flextanan
1643	*flextanan	flechten	German	451	f l ɛ x t ə n	flɛxtən
1644	*flextanan	vlechten	Dutch	451	v l ɛ x t ə	vlɛxtə
#
1409	*flōduz	*flōduz	Proto-Germanic	386	f l oː d	floːduz
1410	*flōduz	Flut	German	386	f l uː t	fluːt
1411	*flōduz	flood	English	386	f l ʌ d	flʌd
1412	*flōduz	vloed	Dutch	386	v l uː t	vluːt
#
923	*freusanan	*freusanan	Proto-Germanic	254	f r eu s a n	freusanan
924	*freusanan	frieren	German	254	f r iː r ə n	friːrən
925	*freusanan	freeze	English	254	f r iː z	friːz
926	*freusanan	vriezen	Dutch	254	v r iː z ə	vriːzə
#
1689	*frijōndz	*frijōndz	Proto-Germanic	463	f r i j oː n d z	frijoːndz
1690	*frijōndz	Freund	German	463	f r ɔy n t	frɔynt
1691	*frijōndz	friend	English	463	f r ɛ n d	frɛnd
1692	*frijōndz	vriend	Dutch	463	v r iː n t	vriːnt
#
453	*frustan	*frustan	Proto-Germanic	125	f r u s t	frustan
454	*frustan	Frost	German	125	f r ɔ s t	frɔst
455	*frustan	frost	English	125	f r ɔ s t	frɔst
456	*frustan	vorst	Dutch	125	v ɔ r s t	vɔrst
#
1831	*fuglaz	*fuglaz	Proto-Germanic	502	f u g l	fuglaz
1832	*fuglaz	Vogel	German	502	f oː ɡ ə l	foːɡəl
1833	*fuglaz	fowl	English	502	f aʊ l	faʊl
1834	*fuglaz	vogel	Dutch	502	v oː ɣ ə l	voːɣəl
#
1884	*fulgēnan	*fulgēnan	Proto-Germanic	517	f u l g eː n	fulgeːnan
1885	*fulgēnan	folgen	German	517	f ɔ l ɡ ə n	fɔlɡən
1886	*fulgēnan	follow	English	517	f ɔ l əʊ	fɔləʊ
1887	*fulgēnan	volgen	Dutch	517	v ɔ l ɣ ə	vɔlɣə
#
776	*fulkan	*fulkan	Proto-Germanic	213	f u l k	fulkan
777	*fulkan	Volk	German	213	f ɔ l k	fɔlk
778	*fulkan	folk	English	213	f əʊ k	fəʊk
779	*fulkan	volk	Dutch	213	v ɔ l k	vɔlk
#
1447	*fulōn	*fulōn	Proto-Germanic	396	f u l oː n	fuloːn
1448	*fulōn	Fohlen	German	396	f oː l ə n	foːlən
1449	*fulōn	foal	English	396	f əʊ l	fəʊl
#
1827	*funxwstiz	*funxwstiz	Proto-Germanic	501	f u n x w s t	funxwstiz
1828	*funxwstiz	Faust	German	501	f au s t	faust
1829	*funxwstiz	fist	English	501	f ɪ s t	fɪst
1830	*funxwstiz	vuist	Dutch	501	v œy s t	vœyst
#
1480	*furxtīn	*furxtīn	Proto-Germanic	406	f u r x t iː n	furxtiːn
1481	*furxtīn	Furcht	German	406	f ʊ r x t	fʊrxt
1482	*furxtīn	fright	English	406	f r aɪ t	fraɪt
#
953	*furxō	*furxō	Proto-Germanic	262	f u r x oː	furxoː
954	*furxō	Furche	German	262	f ʊ r x ə	fʊrxə
955	*furxō	furrow	English	262	f ʌ r əʊ	fʌrəʊ
956	*furxō	voor	Dutch	262	v oː r	voːr
#
1585	*fuwer	*fuwer	Proto-Germanic	435	f u w e r	fuwer
1586	*fuwer	Feuer	German	435	f ɔyə r	fɔyər
1587	*fuwer	fire	English	435	f aɪə r	faɪər
1588	*fuwer	vuur	Dutch	435	v yː r	vyːr
#
339	*fuxsaz	*fuxsaz	Proto-Germanic	94	f u x s	fuxsaz
340	*fuxsaz	Fuchs	German	94	f ʊ k s	fʊks
341	*fuxsaz	fox	English	94	f ɔ k s	fɔks
342	*fuxsaz	vos	Dutch	94	v ɔ s	vɔs
#
885	*fōdran	*fōdran	Proto-Germanic	244	f oː d r	foːdran
